dialogue,label
"caller: Hello, this is Rita from your bank. We noticed a duplicate transaction on your account and corrected it. No action required. receiver: Thank you for taking care of it.",0
"caller: Hi, it’s Chris from the running group. We’re meeting at 7 AM on Sunday at the park. receiver: Great, I’ll be there. Thanks for organizing! caller: No problem—see you Sunday.",0
"caller: Hello, this is Zoe from Harmony Yoga. receiver: Hi Zoe! caller: I wanted to let you know we’ve got a mat ready for you for tomorrow’s 9am class. receiver: Thank you, I’ll be there.",0
caller: We’re giving exclusive investment tips. Send your initial investment to start earning today. receiver: Can you show me some verified results first?  ,1
"caller: Hi, your friend asked us to deliver a package to you, but there’s an unpaid customs fee. Can you cover it now? receiver: What is the package tracking number and which courier company is this?",1
"caller: Good morning, this is Doreen from Smile Dental.   receiver: Good morning!   caller: Your six-month cleaning is due soon. Would you like to schedule?   receiver: Next Thursday if possible.",0
"caller: Hi, this is Carol from Twin Pines Assisted Living. Your mother asked us to give you a call about visiting options. receiver: Thank you for reaching out, Carol.",0
"caller: Hi, I’m calling from the community garden. Will you join us for spring planting this Saturday? receiver: Absolutely, looking forward to it!",0
"caller: You’ve been reported for income tax fraud. Avoid arrest by paying a settlement today.   receiver: I pay my taxes on time.   caller: The audit says otherwise. Pay $2,000 or face investigation.   receiver: I’m calling my accountant.",1
caller: I noticed your profile needs verification for social media blue check. Send your password and ID for review. receiver: Can’t I verify through the site? caller: We’re the fast-track team. Details are needed. receiver: I’ll wait.,1
caller: Your shopping account is on hold. Confirm payment info to restore access. receiver: I haven’t had trouble accessing my account.  ,1
"caller: You’ve been randomly selected for a prize draw. Just verify your identity. receiver: I'll wait and see if anything arrives in the mail. caller: Prizes go fast, confirm now. receiver: No thanks.",1
caller: Your e-commerce account has been locked. Verify by clicking this link. receiver: What site is this for?  ,1
"caller: You’re the lucky winner of a Samsung TV. Kindly pay a handling fee with your card. receiver: A Samsung TV! Did someone refer me, or how was I selected?  ",1
"caller: Hello, it’s Gluten Free Bakery. You left your phone charger here. receiver: Thank you! I wondered where that went. I’ll come by today to get it. caller: We’ll keep it at the front counter.",0
caller: Get a special deal on airline tickets when you pay now via wire transfer. receiver: Can I book on your website? caller: This deal is only available by phone for select clients.,1
"caller: Hi, congratulations! You’ve won a brand new iPhone. All we need is your shipping address and a small delivery fee. receiver: That sounds great! But how do I know this is real? caller: We’re from Apple Rewards. Just send $20 to process your prize. receiver: I think I’ll pass, thanks.",1
"caller: Our systems show a parking violation in your name. Pay the fine, or the fee will increase. receiver: Can you send me proof? caller: Only after you pay the security hold.",1
"caller: Hello, this is the office of Dr. Patel. We’re calling to remind you of your appointment on Friday at 11 AM. receiver: Thank you for the reminder.",0
"caller: Your package is delayed due to an address issue. Provide your billing info to reschedule. receiver: I prefer tracking my packages online, thanks.",1
caller: We need your utility account details to complete a refund. receiver: My provider doesn’t handle refunds this way.  ,1
caller: Your job application needs a processing fee for consideration. receiver: I don’t pay fees for job applications.  ,1
"caller: Hi, this is your building manager. There will be a fire drill tomorrow at 3 PM. receiver: Thank you for letting me know.",0
"caller: Hi, Susan. This is the radiology department with your MRI appointment details. Do you need directions to the facility? receiver: No, I think I know how to get there, thank you.",0
"caller: Hi! It’s Tom from the tennis club. You left your racquet here yesterday. receiver: Thanks for letting me know, Tom! Could you keep it at the front desk for me to pick up tonight?",0
"caller: Hello, it’s Susan from the animal clinic. Max’s annual shot is due next week. receiver: Thanks for reminding me! I’ll set up an appointment.",0
"caller: You’re eligible for a phone upgrade. Confirm phone number and SSN. receiver: 414-323-2992, SSN 940-77-9912. caller: Processing your free phone.",1
"caller: This is from Facebook technical support. Your account was reported for violation. To avoid suspension, verify your login info now. receiver: I didn’t do anything wrong. Which rule did I violate? caller: I can clarify once your identity is confirmed.",1
"caller: Good afternoon, this is Erin from Greenfield Bank. I just wanted to verify your mailing address before we send your new debit card. receiver: Sure, it’s 413 Maple Street, Unit 4C. caller: Got it. The card will arrive in 5-7 business days. receiver: Thank you very much.",0
caller: We’re enforcing a recall for your vehicle. Pay upfront to get the repairs. receiver: Those notices come by mail. I’ll wait for the proper paperwork.,1
"caller: Hi, is this Tina? It’s Caleb from the animal shelter. receiver: Yes, hi! caller: Just letting you know your application to volunteer’s been approved. receiver: That’s amazing! When can I start? caller: We can set up your orientation this week.",0
caller: This is the Department of Motor Vehicles. Your license will be revoked unless you pay a reinstatement fee right now.   receiver: That’s the first I’ve heard of it. I haven’t done anything wrong.   caller: The system flagged your renewal. Pay now or lose your license tomorrow.   receiver: I’ll call the DMV directly to check.,1
"caller: Government benefits upgrade available, just confirm your details and a $50 fee. receiver: Where do I pay? caller: Here, by gift card. receiver: Government doesn’t ask for gift cards.",1
"caller: Hello, this is James from Blueridge Cleaners. Your curtains will be ready by 4 PM. receiver: Thank you, James. I appreciate it.",0
