text,label,word_count
hello rita bank noticed duplicate transaction account corrected action required,0,10
hi it’s chris running group we’re meeting 7 sunday park problem—see sunday,0,12
hello zoe harmony yoga wanted let know we’ve got mat ready tomorrow’s 9am class,0,14
we’re giving exclusive investment tips send initial investment start earning today,1,11
hi friend asked us deliver package there’s unpaid customs fee cover,1,11
good morning doreen smile dental sixmonth cleaning due soon would like schedule,0,12
hi carol twin pines assisted living mother asked us give call visiting options,0,13
hi i’m calling community garden join us spring planting saturday,0,10
you’ve reported income tax fraud avoid arrest paying settlement today audit says otherwise pay 2000 face investigation,1,17
noticed profile needs verification social media blue check send password id review we’re fasttrack team details needed,1,17
shopping account hold confirm payment info restore access,1,8
you’ve randomly selected prize draw verify identity prizes go fast confirm,1,11
ecommerce account locked verify clicking link,1,6
you’re lucky winner samsung tv kindly pay handling fee card,1,10
hello it’s gluten free bakery left phone charger we’ll keep front counter,0,12
get special deal airline tickets pay via wire transfer deal available phone select clients,1,14
hi congratulations you’ve brand new iphone need shipping address small delivery fee we’re apple rewards send 20 process prize,1,19
systems show parking violation name pay fine fee increase pay security hold,1,12
hello office dr patel we’re calling remind appointment friday 11,0,10
package delayed due address issue provide billing info reschedule,1,9
need utility account details complete refund,1,6
job application needs processing fee consideration,1,6
hi building manager fire drill tomorrow 3 pm,0,8
hi susan radiology department mri appointment details need directions facility,0,10
hi it’s tom tennis club left racquet yesterday,0,8
hello it’s susan animal clinic max’s annual shot due next week,0,11
you’re eligible phone upgrade confirm phone number ssn processing free phone,1,11
facebook technical support account reported violation avoid suspension verify login info clarify identity confirmed,1,14
good afternoon erin greenfield bank wanted verify mailing address send new debit card got card arrive 57 business days,0,19
we’re enforcing recall vehicle pay upfront get repairs,1,8
hi tina it’s caleb animal shelter letting know application volunteer’s approved set orientation week,0,14
department motor vehicles license revoked unless pay reinstatement fee right system flagged renewal pay lose license tomorrow,1,17
government benefits upgrade available confirm details 50 fee gift card,1,10
hello james blueridge cleaners curtains ready 4 pm,0,8
hello customer care techwise i’m following see computer issue resolved,0,10
bank name account recovery answer security questions provide online banking password it’s temporary step account protection,1,16
good afternoon janet bird sanctuary opening birdwatching tour saturday would like,0,11
you’ve selected government grant 8000 need pay administrative fee 150 first it’s standard protocol,1,14
mobile service suspended unpaid bills confirm card info keep active,1,10
i’m calling car warranty it’s expire sometimes new cars limited coverage let’s verify info safe,1,15
hi it’s kendra flower shop want us deliver valentine’s order pick,0,11
reward points expire log link sent update account link special offers hurry points disappear,1,14
you’ve qualified lower interest rate credit card begin i’ll need current card details verification required share details,1,17
hi colleen oakwood library requested book available pickup,0,8
hi midtown vet clinic bring daisy 4 pm appointment tomorrow,0,10
hi left lights got fined city hall pay card search citation online you’ll see fee,1,15
hello sarah jake neighbor across hall wanted let know accidentally received package addressed drop later tonight 7 pm,0,18
inheritance waiting overseas need details transfer,1,6
get exclusive access investments—just deposit funds account,1,7
hi mrs lopez tom furniture store sofa scheduled delivery tomorrow 8 10,0,12
i’m microsoft license key expired need payment 50 reactivate,1,9
hey alex borrow notes last friday’s class,0,7
see fraudulent activity device allow remote access secure,1,8
department motor vehicles license suspended pay fine sometimes letters delayed pay 300 lift suspension,1,14
hi julie town cleaners suit ready pickup,0,7
job agency theres fantastic role available send copy government id national opportunities,1,12
friend mentioned reference need details process application financial support loan confirm address phone number,1,14
local police you’re implicated cybercrime confirm ssn address face legal action thank cooperating,1,13
hello selected free vacation hawaii need deposit secure spot ready claim reward ask deposit ensure recipients serious read terms conditions payment,1,21
someone used credit card large purchase please give card number verify,1,11
hello apple support someone tried log apple account give apple id password secure account security updated,1,16
student loan assistance forgive debt—just pay application fee,1,8
hi natalie daycare center alex left lunchbox today,0,8
hi letting know pizza order en route 10 minutes away,0,10
hello computer infected buy antivirus we’ll stop hackers latest protection tool i’ll need card number,1,15
hi julia petsmart cat food order ready pickup yes you’re good,0,11
netflix account’s risk confirm payment information avoid disruption,1,8
mortgage lender verify account freeze property,1,6
hi i’m calling green thumb nursery flower seeds ordered arrived would like delivered,0,13
internal revenue informs refund click refund link fill details,1,9
pension suspended pending verification provide details,1,6
email hacked help recover give us login,1,7
computer infected help clean system right give remote access monitoring shows suspicious activity ip,1,14
parcel pay customs charge confirm details receive today sender requested anonymity—it’s surprise pay collect,1,14
hi janet animal clinic wanted remind daisy’s vaccination appointment next week,0,11
we’re offering covid19 refunds share bank info receive,1,8
tech support detected hackers network need ip address secure connection,1,10
hello school nurse son slight fever he’s resting thought you’d like know,0,12
hi sara wilderness outfitters tent ordered arrived,0,7
hi taylor doggo groomers appointment next wednesday 11,0,8
covid19 relief funds available apply send id ssn application received,1,10
student loan forgiven small fee let explain process,1,8
hello could win 1000 immediate survey provide email credit card reward secure processing—we won’t charge,1,15
hello eric post office wanted let know registered letter waiting branch,0,11
hey it’s sam marketing meeting’s rescheduled 3,0,7
good morning emily tom science department could send slides thursday’s lecture thanks lot,0,13
i’m calling tech support fix router share admin password remote access,1,11
exclusive crypto investment opportunities start 500,1,6
hello irs detected discrepancies recent tax filings confirm social security number verification,1,12
hello mr peters high school office school open two hours late tomorrow due weather,0,14
identity used fraudulent activities must verify identity urgently email us copy driver’s license utility bill,1,15
netflix subscription suspended please update billing information restore service registered netflix let’s update card details,1,15
hey jake it’s olivia remember book lent last month that’d great thanks,0,12
hi tony eastside hardware special order faucet arrived,0,8
hi it’s ashley animal hospital letting know stitch ready picked dental morning,0,12
i’m amazon billing team pending payment let’s resolve card details,1,10
health insurance policy review confirm identity banking info updates bulk process covering lots policies,1,14
you’ve missed jury duty face fine please pay online risk legal action,1,12
amazon offering parttime job enter bank info start working,1,9
hi lisa lisa order sweetcake bakery’s ready pickup time today,0,10
